epoch,train_loss,val_loss,train_acc,val_acc,lr
1,0.8709995669978006,0.7850859695010715,67.32142857142857,68.48214285714286,0.0002997040092642407
2,0.5992601313761302,1.1345584690570831,77.63392857142857,56.25,0.0002988172051971717
3,0.4936150291136333,0.9391162461704678,82.36607142857143,62.767857142857146,0.0002973430876093033
4,0.43278384591851915,0.7535971403121948,84.53125,73.39285714285714,0.00029528747416929463
5,0.38665136226585933,0.5605813744995329,86.11607142857143,78.39285714285714,0.00029265847744427303
6,0.40169944699321475,0.6364323993523916,85.58035714285714,76.42857142857143,0.0002894664728832377
7,0.35017676204442977,0.5118234356244405,87.52232142857143,79.73214285714286,0.000285724057869903
8,0.33761555148022515,0.29379583646853763,87.92410714285714,88.83928571428571,0.00028144600200657956
9,0.30513795060770854,0.5082688762081994,89.19642857142857,81.25,0.0002766491888253023
10,0.2837264262139797,0.31065061853991616,90.06696428571429,87.76785714285714,0.00027135254915624217
11,0.275632632630212,0.5835782405402925,90.11160714285714,76.78571428571429,0.0002655769864163684
12,0.26810226546866556,0.4257578170961804,90.51339285714286,82.94642857142857,0.0002593452941132117
13,0.25299655401280946,0.2943327609035704,91.16071428571429,89.64285714285714,0.0002526820658893033
14,0.24749954917601177,0.32784200294150245,91.00446428571429,87.94642857142857,0.0002456135984623034
15,0.21964917406439782,0.2979782621065776,91.98660714285714,88.92857142857143,0.00023816778784387096
16,0.2235121665256364,0.23341531885994804,92.03125,90.71428571428571,0.00023037401924684944
17,0.21489884523408753,0.3571707523531384,92.38839285714286,87.14285714285714,0.00022226305111525726
18,0.2120736759688173,0.3523813337087631,92.58928571428571,87.5,0.00021386689373476087
19,0.1860766831253256,0.29118625240193474,93.34821428571429,90.26785714285714,0.00020521868290270169
20,0.18211703492062434,0.6375988523165385,93.50446428571429,80.0,0.00019635254915624208
21,0.2028726047703198,0.31166764431529576,92.52232142857143,87.85714285714286,0.00018730348307472816
22,0.15618511959910392,0.4848323282268312,94.46428571428571,82.67857142857143,0.00017810719718785867
23,0.16849832061145986,0.31756606035762364,94.44196428571429,88.03571428571429,0.00016879998503464564
24,0.15592787957617216,0.2903297311729855,94.35267857142857,89.82142857142857,0.000159418577929397
25,0.13876122646033764,0.1703345761117008,95.44642857142857,93.66071428571429,0.00015
26,0.12423325942030974,0.238930554025703,95.95982142857143,90.35714285714286,0.000140581422070603
27,0.13360231018492152,0.19843213342958027,95.44642857142857,92.85714285714286,0.00013120001496535436
28,0.12406211710934129,0.2698545203440719,95.58035714285714,90.44642857142857,0.0001218928028121413
29,0.11212066161845412,0.19420811699496376,96.27232142857143,93.66071428571429,0.00011269651692527177
30,0.10498387821550881,0.15729169299205145,96.33928571428571,93.92857142857143,0.00010364745084375793
31,0.11893468954201256,0.12500646192994383,96.16071428571429,95.80357142857143,9.478131709729836e-05
32,0.09313083107450179,0.1130652709139718,97.12053571428571,96.16071428571429,8.61331062652391e-05
33,0.0969775707593986,0.16521614872746998,96.49553571428571,94.73214285714286,7.773694888474269e-05
34,0.08935839544449534,0.12529705837368965,96.85267857142857,95.89285714285714,6.962598075315047e-05
35,0.08186036539929253,0.19535386438171068,97.20982142857143,93.66071428571429,6.183221215612905e-05
36,0.08095534821706159,0.1542770080268383,97.23214285714286,94.73214285714286,5.438640153769654e-05
37,0.07709942909755878,0.09103679615590307,97.23214285714286,97.23214285714286,4.73179341106967e-05
38,0.07460584821445601,0.11514452575809425,97.43303571428571,95.89285714285714,4.0654705886788306e-05
39,0.07622745707631111,0.11706116961108314,97.45535714285714,95.80357142857143,3.4423013583631635e-05
40,0.06594589067889112,0.1092537437669105,97.79017857142857,96.78571428571429,2.86474508437579e-05
41,0.07318558285811118,0.0940954482389821,97.16517857142857,96.69642857142857,2.3350811174697774e-05
42,0.05803082936576435,0.09279148922198349,98.03571428571429,96.96428571428571,1.8553997993420465e-05
43,0.05630855155842645,0.09151128151764472,98.37053571428571,97.05357142857143,1.42759421300971e-05
44,0.06327310659523522,0.08982455419997375,98.10267857142857,97.14285714285714,1.05335271167623e-05
45,0.05043612526995795,0.0869202348921034,98.41517857142857,97.41071428571429,7.341522555726972e-06
46,0.05388760212808848,0.08614468160602781,98.28125,97.32142857142857,4.712525830705356e-06
47,0.05425053967961243,0.08591341020332442,98.50446428571429,97.05357142857143,2.656912390696692e-06
48,0.05150846804359129,0.087791764901744,98.52678571428571,97.41071428571429,1.1827948028283352e-06
49,0.05130369876112257,0.09298948809090588,98.50446428571429,97.41071428571429,2.9599073575926616e-07
50,0.04932271417762552,0.08309376301864783,98.28125,97.41071428571429,0.0
